epoch,step,test/acc,test/acc_best,test/f1_score,test/loss,train/acc,train/f1_score,train/loss,val/acc,val/f1_score,val/loss
0,179,,,,,,,,0.30363035202026367,0.40682703256607056,3.614025831222534
0,179,,,,,0.12722989916801453,0.11919640004634857,4.321787357330322,,,
1,359,,,,,,,,0.4630775451660156,0.5889292359352112,2.4224681854248047
1,359,,,,,0.3459676504135132,0.33503732085227966,3.166822910308838,,,
2,539,,,,,,,,0.5558993220329285,0.6867194175720215,1.8490761518478394
2,539,,,,,0.47140926122665405,0.4726742208003998,2.337442398071289,,,
3,719,,,,,,,,0.6128300428390503,0.7386242747306824,1.5685279369354248
3,719,,,,,0.5301609635353088,0.5344576835632324,1.9411479234695435,,,
4,899,,,,,,,,0.635519802570343,0.757576584815979,1.4071311950683594
4,899,,,,,0.5822829008102417,0.5873138904571533,1.6893093585968018,,,
5,1079,,,,,,,,0.6615098714828491,0.7794355154037476,1.3009496927261353
5,1079,,,,,0.6151262521743774,0.6226708292961121,1.5190097093582153,,,
6,1259,,,,,,,,0.6864686608314514,0.7979872226715088,1.204637050628662
6,1259,,,,,0.6426920294761658,0.6487122774124146,1.4037628173828125,,,
7,1439,,,,,,,,0.6926567554473877,0.80375075340271,1.1498701572418213
7,1439,,,,,0.6651110053062439,0.6722382307052612,1.3123583793640137,,,
8,1619,,,,,,,,0.7013201117515564,0.8107934594154358,1.1096395254135132
8,1619,,,,,0.6843023300170898,0.6907911896705627,1.2374838590621948,,,
9,1799,,,,,,,,0.7112210988998413,0.8178768157958984,1.0710601806640625
9,1799,,,,,0.6969512104988098,0.7032230496406555,1.1748499870300293,,,
10,1800,0.7097029685974121,0.7097029685974121,0.8171316981315613,1.0984132289886475,,,,,,
